Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-250x200,3,5.456 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-250x250,4,7.376 m²,0.000 m²,,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-300x300,1,1.903 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-350x350,1,2.017 m²,0.000 m²,Flat on Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-350x650,1,2.191 m²,0.000 m²,Flat on Left,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-450x250,1,2.044 m²,0.000 m²,Flat on Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-500x200,1,1.959 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-650x350,2,4.380 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-700x350,3,6.676 m²,0.000 m²,Equal Taper,,
'1: 90,,,,90,36.803 m²,39.360 m²,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,300x900-300x900,1,0.000 m²,0.848 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x800-350x800,1,0.000 m²,0.948 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,350x850-350x850,1,0.000 m²,0.990 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,500x850-500x850,1,0.000 m²,1.590 m²,,90.00°,0.75
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,800x350-800x350,1,0.000 m²,2.168 m²,,90.00°,0.75
