Family and Type,Insulation Type,Insulation Thickness,Size,Count,Length,Area,Surface Area
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x150,1,6.293,11.957,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x350,1,13.046,30.005,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x400,1,32.68,78.432,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x500,1,5.982,15.554,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,850x200,1,11.259,23.644,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,850x500,1,2.091,5.645,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,900x300,1,15.659,37.583,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1150x150,1,3.697,9.613,0
'3: 65,,,,,90.708,212.433,0
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1700x400,1,28.568,119.987,0
'4: 11,,,,1,28.568,119.987,0
Grand total: 670,,,,1,1093.364,1624.963,0
